V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Gm7079,-3.14169498494799,-0.789577324945241,4.35530614839116,0.0368938274465542,0.748899255410004
Celsr2,-1.67892546601805,0.0306431423858867,10.6530077837334,0.0010989204873981,0.109113931127622
Sult3a1,2.92066067825146,5.66211285490086,7.73367517109227,0.0054200316265613,0.309993364049969
Cyp3a57,3.3361785875479,-1.33003643750552,4.63181795302523,0.0313842923026253,0.7032169436314
Ren1,-3.5025434761511,-1.52650768210149,6.34179430506547,0.0117925531362776,0.461677769320793
Xlr3b,2.50790441056163,-1.11520219085917,6.91708160247069,0.008537619721043,0.390211729561611
H2-Bl,2.46657638373996,0.711016037355571,6.02305394263567,0.0141201921697719,0.485702228625861
Ifi213,-3.22384312065931,-1.2876309972173,5.64464394238971,0.0175087712504158,0.540135313992774
Mup-ps12,3.37763333320055,2.17771296577469,12.2277403589289,0.0004708418740563,0.0662060001986254
Il11ra3,2.49752483172751,-0.232552537133664,7.19794882050087,0.0072986956907078,0.362350774259799
Gvin3,4.96098580524261,-1.10385780007271,6.38883419721823,0.0114840426518094,0.454415608494618
Saa1,1.94555705663828,6.41301035382491,4.09157882991452,0.0430973668708137,0.793898121147588
Cib3,2.62719344625545,-0.635280011407057,5.26343187396385,0.0217780344116276,0.594727915342463
Cyp2a4,-2.72226956795393,8.54001093747207,12.3075293166504,0.0004511347409896,0.0659135555448323
Gm10804,-2.01214924836674,0.306789542256696,6.27543415867368,0.0122423122576375,0.463931059174659
Cyp3a41b,1.85998940111457,8.37717974250518,6.1952030076072,0.0128097030001671,0.470749223357865
Ly6a,-1.73632983344769,3.64074039956261,4.7721897629356,0.0289230155013302,0.682411631031511
Smim24,-1.85562085539401,-0.105362512946673,11.1974361881407,0.0008191042646724,0.0955781078471024
Il11ra2,-1.97058187029758,0.293516790961094,8.38639227044484,0.003780405207327,0.253821765686198
Hsp25-ps1,1.81955033916288,-1.48644738298661,5.03340895785576,0.0248629145185184,0.626522073668245
R3hdml,2.39625190172734,-1.1819458004146,10.7892208012099,0.0010209284780839,0.104845733838901
Col4a3,-2.925096371786,-0.419177439805459,21.8912014707009,2.88553919916973e-06,0.0016474367727831
Nat8f6,-3.50013107561979,-0.358755301915881,17.2695887998307,3.24336420287633e-05,0.0110613417286601
Xlr4a,4.98134096480688,-2.14237383467503,6.1642851393885,0.013035504099039,0.473100188303341
Rpsa-ps12,-1.73472301343119,2.96140055385,13.3230117643052,0.0002621687466972,0.0460552701615686
Gm8545,1.9489443157405,-1.30787257036402,8.31519353225748,0.0039314814861943,0.259705219166539
Taf9-ps,-1.65977614971305,-0.92679321629518,4.5837379384599,0.0322767324358449,0.710350767655469
Gm13464,2.07313676937946,2.77586967506073,15.416707562031,8.62225827637886e-05,0.0205724508665959
Gm9836,1.6811975556674,-1.19096013367557,6.31296458102712,0.0119858259873874,0.463476080668067
Gm13775,2.58538230516323,1.99044665235992,5.67712502529605,0.0171875088660566,0.535593599868969
Gm12599,-1.95426760160372,-1.33785089432386,4.03410275275733,0.0445893799565444,0.803614236736549
Gm5937,2.25494787683826,-0.706155330308182,4.11251473060739,0.0425670241972997,0.790332693168447
Gm11960,3.61437000909941,0.133388106352331,11.0019112763806,0.0009101798217691,0.100663673680679
Mup-ps14,3.81358866372918,1.51140156259006,14.9881777260206,0.0001081868344495,0.0247067819358563
Gm8213,-2.7170110229018,0.279245592707469,6.09944203100531,0.0135224571962134,0.478252214023602
