V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Serinc2,3.0136988050586,4.07363362338123,67.8322064852351,1.78017839273648e-16,2.27663454290282e-14
Cd4,2.31474033304904,0.319386709012466,17.233668574039,3.30526511862959e-05,0.000510511769917
Slc25a27,-2.89215699385598,-0.099949684495864,27.9582090817055,1.23963940090525e-07,3.87048348884205e-06
Satb1,-1.6210922215581,-0.368980175568548,6.02552640196164,0.0141004257356225,0.0668051734050889
Cyp39a1,-3.66017568054917,4.30435013247077,30.482647482983,3.36866215637658e-08,1.17068333112687e-06
Ptk7,-1.93064035432401,-0.114656718794047,17.3784038434094,3.06286418662906e-05,0.0004804999694548
Pi16,-3.60005518222933,-1.57881709142183,5.58930929299642,0.0180704203233019,0.0794045462584674
Sik1,-1.56049228240823,5.04039202080901,15.3027396677693,9.1583590580799e-05,0.0011951471665507
Myom1,-3.82465192934923,0.45966065618403,20.1867068613333,7.02393465099285e-06,0.0001328812063086
Slc3a1,2.50429311257314,4.84207339002984,50.399666049907,1.25415563108185e-12,9.325084613243901e-11
Rfx2,-1.74277412680795,0.542177782548797,23.7000773577328,1.12578011184331e-06,2.66223681478213e-05
Grm8,6.12885392169082,0.541311698619078,92.3377394266841,7.30773484953346e-22,1.7436037209647998e-19
Cyp4f14,2.87906226098264,7.87684316208229,141.101766886486,1.5285839618835002e-32,6.981698061334169e-30
Slc23a1,1.97240193372159,5.79455418100405,73.5341921446661,9.890788747507519e-18,1.47770232633323e-15
Cyp21a1,7.13213116571226,2.64825704779264,11.7141769722705,0.0006202573766908,0.0059731532673376
Lims2,1.52834459396758,5.82775349165779,60.3194475806769,8.064665873923e-15,8.26421465772648e-13
Ltb,-2.0795117917158,0.422972621324108,13.8931803230593,0.0001934993000339,0.0022628235627959
Lama3,3.10592636276194,2.08268162683805,53.5615318143397,2.50618988889335e-13,2.04407916142087e-11
Ttc39c,1.87626057158707,7.52193103093625,66.8018822310472,3.00211340868277e-16,3.72029340706998e-14
Myot,-8.85970858658225,-1.12586657640046,6.7705831755039,0.0092672547931524,0.0486363542755531
Slc4a9,-6.60314051088463,1.36142148286057,60.2895411220307,8.18813257188077e-15,8.33729218433669e-13
Spink1,-8.49471640724027,0.717872451644342,22.1804156384487,2.48192623220166e-06,5.42022851748303e-05
Keg1,4.04179734511312,6.2098581843545,121.1647371678,3.51682163016647e-28,1.2777252404509301e-25
Gna14,4.47993722601041,2.29360580816545,103.818314399853,2.21745888860446e-24,6.111775481591529e-22
Trpm6,-3.28400020970277,-0.0456694460371696,12.359850485673,0.0004386658193394,0.0044980832507759
Stambpl1,-3.12874184254377,-0.0307252526364462,43.3851874249546,4.49578545834546e-11,2.88633037498436e-09
Slc25a45,2.20932135876867,4.36250913577257,74.8229062086431,5.14888358083245e-18,7.914428165691101e-16
Cabp4,-3.7268047160503,-1.53019861994504,22.6314400335819,1.96246794902022e-06,4.38769407455067e-05
Ctsw,-1.57937451855611,-0.813243587336531,4.78347194220433,0.0287341312357275,0.110525462448109
Vldlr,-5.65411028170967,3.59837374748156,65.5318399646391,5.71826170844375e-16,6.82180087098372e-14
Cyp26a1,2.03762713062709,4.09950469774633,9.87815049781072,0.0016725297132255,0.0132034864175916
Pde6c,-4.53763541387965,0.299955749341368,38.2107611877159,6.35012524049638e-10,3.39508702657442e-08
Cyp2c39,-3.35488419355984,7.74616676028829,23.1546993392682,1.49477457563757e-06,3.41852165466985e-05
